Participant,Media,Timeline,AOI,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Average_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Number_of_saccades_in_AOI
3,Presentation2,Entire Recording,M1-2-C,3248,162,20,81946,2.96098,4397,400,11,81946,4
3,Presentation2,Entire Recording,M1-2-D,3531,147,24,95686,2.9723,5228,653,8,95686,6
3,Presentation2,Entire Recording,M1-2-DELETE,250,250,1,48972,2.82691,250,250,1,48972,0
3,Presentation2,Entire Recording,M1-2-DELETE,48865,165,297,46993,2.95479,79765,5697,14,46993,120
3,Presentation2,Entire Recording,Q,26509,145,183,51171,2.94387,54452,2593,21,51171,62
3,Presentation2,Entire Recording,T,49115,165,298,46993,2.95404,80181,5727,14,46993,120
3,Presentation3,T+A,M2-1-A,8194,264,31,3714,3.05739,9210,614,15,3714,12
3,Presentation3,T+A,M2-1-B,1682,336,5,80192,3.10018,1682,336,5,80192,0
3,Presentation3,T+A,M2-1-BLANK,0,,0,,,0,,0,,0
3,Presentation3,T+A,M2-1-C,0,,0,,,0,,0,,0
3,Presentation3,T+A,M2-1-D,0,,0,,,0,,0,,0
3,Presentation3,T+A,M2-1-DELETE,6579,178,37,1666,3.22065,8794,977,9,1666,16
3,Presentation3,T+A,M2-1-DELETE,26281,170,155,287,3.08514,39749,1472,27,287,64
3,Presentation3,T+A,Q,24216,224,108,3448,3.09739,30242,889,34,3448,46
3,Presentation3,T+A,T,35991,173,208,287,3.11568,53903,1585,34,287,86
3,Presentation3,Entire Recording,M2-1-A,8194,264,31,53641,3.05739,9210,614,15,53641,12
3,Presentation3,Entire Recording,M2-1-B,1682,336,5,130119,3.10018,1682,336,5,130119,0
3,Presentation3,Entire Recording,M2-1-BLANK,0,,0,,,0,,0,,0
3,Presentation3,Entire Recording,M2-1-C,0,,0,,,0,,0,,0
3,Presentation3,Entire Recording,M2-1-D,0,,0,,,0,,0,,0
3,Presentation3,Entire Recording,M2-1-DELETE,6579,178,37,51593,3.22065,8794,977,9,51593,16
3,Presentation3,Entire Recording,M2-1-DELETE,26281,170,155,50214,3.08514,39749,1472,27,50214,64
3,Presentation3,Entire Recording,Q,24216,224,108,53375,3.09739,30242,889,34,53375,46
3,Presentation3,Entire Recording,T,35991,173,208,50214,3.11568,53903,1585,34,50214,86
3,Presentation4,T+A,M2-2-A,9093,162,56,2610,3.19355,10792,284,38,2610,6
3,Presentation4,T+A,M2-2-B,10026,179,56,8506,3.18467,11991,375,32,8506,12
3,Presentation4,T+A,M2-2-BLANK,217,217,1,1130,3.78639,217,217,1,1130,0
3,Presentation4,T+A,M2-2-C,9410,205,46,22196,3.15723,11589,464,25,22196,9
3,Presentation4,T+A,M2-2-D,6629,166,40,26705,3.27525,8544,475,18,26705,8
3,Presentation4,T+A,M2-2-DELETE,67,67,1,2477,2.79684,67,67,1,2477,0
3,Presentation4,T+A,M2-2-DELETE,13857,169,82,250,3.0773,21665,1444,15,250,33
3,Presentation4,T+A,Q,42170,174,243,2610,3.1926,67790,2421,28,2610,89
3,Presentation4,T+A,T,14556,171,85,250,3.07881,22431,1402,16,250,35
3,Presentation4,Entire Recording,M2-2-A,9093,162,56,49468,3.19355,10792,284,38,49468,6
3,Presentation4,Entire Recording,M2-2-B,10026,179,56,55364,3.18467,11991,375,32,55364,12
3,Presentation4,Entire Recording,M2-2-BLANK,217,217,1,47988,3.78639,217,217,1,47988,0
3,Presentation4,Entire Recording,M2-2-C,9410,205,46,69054,3.15723,11589,464,25,69054,9
3,Presentation4,Entire Recording,M2-2-D,6629,166,40,73563,3.27525,8544,475,18,73563,8
3,Presentation4,Entire Recording,M2-2-DELETE,67,67,1,49335,2.79684,67,67,1,49335,0
3,Presentation4,Entire Recording,M2-2-DELETE,13857,169,82,47107,3.0773,21665,1444,15,47107,33
3,Presentation4,Entire Recording,Q,42170,174,243,49468,3.1926,67790,2421,28,49468,89
3,Presentation4,Entire Recording,T,14556,171,85,47107,3.07881,22431,1402,16,47107,35
3,Presentation5,T+P,M3-1-A,3181,145,22,78014,2.8917,3581,224,16,78014,2
3,Presentation5,T+P,M3-1-B,4826,186,26,78864,2.96443,5826,416,14,78864,6
3,Presentation5,T+P,M3-1-C,4014,182,22,79097,2.94791,5427,362,15,79097,3
3,Presentation5,T+P,M3-1-D,600,120,5,81362,2.96091,666,222,3,81362,1
3,Presentation5,T+P,P,9743,191,51,1651,2.9447,13071,2178,6,1651,27
3,Presentation5,T+P,DELETE,57142,225,254,2167,3.07272,78231,13039,6,2167,152
3,Presentation5,T+P,DELETE,1166,194,6,1084,3.42901,1282,256,5,1084,0
3,Presentation5,T+P,Q,19782,157,126,65393,2.94503,36199,2011,18,65393,52
3,Presentation5,T+P,T,58924,223,264,1084,3.07812,80827,8083,10,1084,154
3,Presentation5,Entire Recording,M3-1-A,3181,145,22,121362,2.8917,3581,224,16,121362,2
3,Presentation5,Entire Recording,M3-1-B,4826,186,26,122211,2.96443,5826,416,14,122211,6
3,Presentation5,Entire Recording,M3-1-C,4014,182,22,122444,2.94791,5427,362,15,122444,3
3,Presentation5,Entire Recording,M3-1-D,600,120,5,124709,2.96091,666,222,3,124709,1
3,Presentation5,Entire Recording,P,9743,191,51,44998,2.9447,13071,2178,6,44998,27
3,Presentation5,Entire Recording,DELETE,57142,225,254,45514,3.07272,78231,13039,6,45514,152
3,Presentation5,Entire Recording,DELETE,1166,194,6,44432,3.42901,1282,256,5,44432,0
3,Presentation5,Entire Recording,Q,19782,157,126,108740,2.94503,36199,2011,18,108740,52
3,Presentation5,Entire Recording,T,58924,223,264,44432,3.07812,80827,8083,10,44432,154
3,Presentation6,T+P,M3-2-A,4896,129,38,33780,3.06933,8311,489,17,33780,6
3,Presentation6,T+P,M3-2-B,4447,171,26,37543,3.0222,5296,353,15,37543,5
3,Presentation6,T+P,M3-2-C,5113,125,41,40808,3.1043,8990,409,22,40808,5
3,Presentation6,T+P,M3-2-D,2532,110,23,42223,3.13979,4197,382,11,42223,3
3,Presentation6,T+P,P,1216,203,6,124,3.66902,2132,2132,1,124,1
3,Presentation6,T+P,DELETE,8094,208,39,5986,3.10451,11163,1861,6,5986,20
3,Presentation6,T+P,DELETE,18287,201,91,5403,3.02524,25629,2330,11,5403,41
3,Presentation6,T+P,Q,22584,140,161,2339,3.08165,47509,2159,22,2339,44
3,Presentation6,T+P,T,28196,206,137,5403,3.04957,40240,3658,11,5403,70
3,Presentation6,Entire Recording,M3-2-A,4896,129,38,81092,3.06933,8311,489,17,81092,6
3,Presentation6,Entire Recording,M3-2-B,4447,171,26,84855,3.0222,5296,353,15,84855,5
3,Presentation6,Entire Recording,M3-2-C,5113,125,41,88119,3.1043,8990,409,22,88119,5
3,Presentation6,Entire Recording,M3-2-D,2532,110,23,89535,3.13979,4197,382,11,89535,3
3,Presentation6,Entire Recording,P,1216,203,6,47435,3.66902,2132,2132,1,47435,1
3,Presentation6,Entire Recording,DELETE,8094,208,39,53298,3.10451,11163,1861,6,53298,20
3,Presentation6,Entire Recording,DELETE,18287,201,91,52715,3.02524,25629,2330,11,52715,41
3,Presentation6,Entire Recording,Q,22584,140,161,49650,3.08165,47509,2159,22,49650,44
3,Presentation6,Entire Recording,T,28196,206,137,52715,3.04957,40240,3658,11,52715,70
3,Presentation7,T+A&P,M4-1-A,7128,204,35,11454,3.05161,8194,546,15,11454,14
3,Presentation7,T+A&P,M4-1-B,8477,188,45,45120,3.02432,11142,696,16,45120,18
3,Presentation7,T+A&P,M4-1-C,4980,172,29,49234,3.02491,6196,364,17,49234,8
3,Presentation7,T+A&P,M4-1-D,899,225,4,105979,3.04338,916,305,3,105979,1
3,Presentation7,T+A&P,P,7411,158,47,947,3.09116,10393,1485,7,947,18
3,Presentation7,T+A&P,DELETE,29695,212,140,5993,3.06152,42658,2844,15,5993,90
3,Presentation7,T+A&P,DELETE,3080,134,23,0,3.06872,6361,1272,5,0,5
3,Presentation7,T+A&P,Q,26714,184,145,9122,3.04434,42318,2821,15,9122,66
3,Presentation7,T+A&P,T,33608,199,169,0,3.06281,50418,2521,20,0,97
3,Presentation7,Entire Recording,M4-1-A,7128,204,35,57049,3.05161,8194,546,15,57049,14
3,Presentation7,Entire Recording,M4-1-B,8477,188,45,90715,3.02432,11142,696,16,90715,18
3,Presentation7,Entire Recording,M4-1-C,4980,172,29,94829,3.02491,6196,364,17,94829,8
3,Presentation7,Entire Recording,M4-1-D,899,225,4,151574,3.04338,916,305,3,151574,1
3,Presentation7,Entire Recording,P,7411,158,47,46542,3.09116,10393,1485,7,46542,18
3,Presentation7,Entire Recording,DELETE,29695,212,140,51588,3.06152,42658,2844,15,51588,90
3,Presentation7,Entire Recording,DELETE,3080,134,23,45595,3.06872,6361,1272,5,45595,5
3,Presentation7,Entire Recording,Q,26714,184,145,54717,3.04434,42318,2821,15,54717,66
3,Presentation7,Entire Recording,T,33608,199,169,45595,3.06281,50418,2521,20,45595,97
3,Presentation8,T+A&P,M4-2-A,3298,143,23,6694,3.03957,4114,411,10,6694,6
3,Presentation8,T+A&P,M4-2-B,2581,136,19,29042,2.96176,3331,303,11,29042,5
3,Presentation8,T+A&P,M4-2-C,3231,111,29,28825,2.85327,6146,384,16,28825,3
3,Presentation8,T+A&P,M4-2-D,1732,108,16,50674,2.8448,2015,202,10,50674,2
3,Presentation8,T+A&P,P,100,100,1,1981,3.40972,100,100,1,1981,0
3,Presentation8,T+A&P,DELETE,3497,159,22,651,3.05729,7443,1241,6,651,10
3,Presentation8,T+A&P,DELETE,5429,121,45,3413,2.92795,11558,608,19,3413,5
3,Presentation8,T+A&P,Q,21601,133,162,2214,2.9832,41365,1034,40,2214,46
3,Presentation8,T+A&P,T,9260,132,70,651,2.98383,31577,1435,22,651,16
3,Presentation8,Entire Recording,M4-2-A,3298,143,23,56239,3.03957,4114,411,10,56239,6
3,Presentation8,Entire Recording,M4-2-B,2581,136,19,78588,2.96176,3331,303,11,78588,5
3,Presentation8,Entire Recording,M4-2-C,3231,111,29,78371,2.85327,6146,384,16,78371,3
3,Presentation8,Entire Recording,M4-2-D,1732,108,16,100220,2.8448,2015,202,10,100220,2
3,Presentation8,Entire Recording,P,100,100,1,51526,3.40972,100,100,1,51526,0
3,Presentation8,Entire Recording,DELETE,3497,159,22,50196,3.05729,7443,1241,6,50196,10
3,Presentation8,Entire Recording,DELETE,5429,121,45,52959,2.92795,11558,608,19,52959,5
3,Presentation8,Entire Recording,Q,21601,133,162,51759,2.9832,41365,1034,40,51759,46
3,Presentation8,Entire Recording,T,9260,132,70,50196,2.98383,31577,1435,22,50196,16
4,Presentation1,T,M1-1-A,4097,132,31,6901,2.77408,7811,601,13,6901,7
4,Presentation1,T,M1-1-B,2615,174,15,30249,2.85505,2965,424,7,30249,5
4,Presentation1,T,M1-1-BLANK,3154,131,24,0,2.83818,4719,472,10,0,7
4,Presentation1,T,M1-1-C,1016,92,11,49433,2.91451,2082,416,5,49433,0
4,Presentation1,T,M1-1-D,266,133,2,52830,2.98934,450,450,1,52830,0
4,Presentation1,T,M1-1-DELETE,3564,162,22,3237,2.76544,5563,795,7,3237,6
4,Presentation1,T,M1-1-DELETE,7844,129,61,2321,2.7392,17604,1100,16,2321,15
4,Presentation1,T,Q,10542,133,79,6901,2.8268,21435,2143,10,6901,22
4,Presentation1,T,T,12441,135,92,2321,2.74013,27980,2152,13,2321,26
4,Presentation1,Entire Recording,M1-1-A,4097,132,31,146184,2.77408,7811,601,13,146184,7
4,Presentation1,Entire Recording,M1-1-B,2615,174,15,169532,2.85505,2965,424,7,169532,5
4,Presentation1,Entire Recording,M1-1-BLANK,3154,131,24,139283,2.83818,4719,472,10,139283,7
4,Presentation1,Entire Recording,M1-1-C,1016,92,11,188716,2.91451,2082,416,5,188716,0
4,Presentation1,Entire Recording,M1-1-D,266,133,2,192114,2.98934,450,450,1,192114,0
4,Presentation1,Entire Recording,M1-1-DELETE,3564,162,22,142520,2.76544,5563,795,7,142520,6
4,Presentation1,Entire Recording,M1-1-DELETE,7844,129,61,141604,2.7392,17604,1100,16,141604,15
4,Presentation1,Entire Recording,Q,10542,133,79,146184,2.8268,21435,2143,10,146184,22
4,Presentation1,Entire Recording,T,12441,135,92,141604,2.74013,27980,2152,13,141604,26
