Participant,Media,Timeline,AOI,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Average_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Number_of_saccades_in_AOI
7,Presentation8,T+A&P,M4-2-C,11758,231,51,27737,2.41292,14273,529,27,27737,8
7,Presentation8,T+A&P,M4-2-D,7948,234,34,54817,2.38323,9281,714,13,54817,11
7,Presentation8,T+A&P,P,3523,271,13,0,2.31709,4189,1047,4,0,5
7,Presentation8,T+A&P,DELETE,4230,212,20,958,2.29317,5196,577,9,958,6
7,Presentation8,T+A&P,DELETE,18953,206,92,18710,2.23278,25147,3143,8,18710,52
7,Presentation8,T+A&P,Q,55964,211,265,2274,2.3523,79344,7934,10,2274,135
7,Presentation8,T+A&P,T,23933,208,115,958,2.24366,31609,3161,10,958,65
7,Presentation8,Entire Recording,M4-2-A,8094,193,42,45874,2.30971,10343,796,13,45874,16
7,Presentation8,Entire Recording,M4-2-B,10992,220,50,77533,2.33656,14288,680,21,77533,15
7,Presentation8,Entire Recording,M4-2-C,11758,231,51,71337,2.41292,14273,529,27,71337,8
7,Presentation8,Entire Recording,M4-2-D,7948,234,34,98418,2.38323,9281,714,13,98418,11
7,Presentation8,Entire Recording,P,3523,271,13,43601,2.31709,4189,1047,4,43601,5
7,Presentation8,Entire Recording,DELETE,4230,212,20,44559,2.29317,5196,577,9,44559,6
7,Presentation8,Entire Recording,DELETE,18953,206,92,62311,2.23278,25147,3143,8,62311,52
7,Presentation8,Entire Recording,Q,55964,211,265,45874,2.3523,79344,7934,10,45874,135
7,Presentation8,Entire Recording,T,23933,208,115,44559,2.24366,31609,3161,10,44559,65
8,Presentation1,T,M1-1-A,8765,191,46,94004,2.88263,11612,683,17,94004,15
8,Presentation1,T,M1-1-B,12824,183,70,147384,2.91303,18515,1424,13,147384,26
8,Presentation1,T,M1-1-BLANK,100,100,1,31210,3.10153,100,100,1,31210,0
8,Presentation1,T,M1-1-C,6495,162,40,155593,2.98666,9308,776,12,155593,13
8,Presentation1,T,M1-1-D,450,90,5,162370,3.14107,500,125,4,162370,0
8,Presentation1,T,M1-1-DELETE,17671,300,59,2056,2.93201,20399,5100,4,2056,49
8,Presentation1,T,M1-1-DELETE,86221,261,330,342,2.81956,105635,6214,17,342,237
8,Presentation1,T,Q,37728,181,209,91023,2.90148,59331,5933,10,91023,102
8,Presentation1,T,T,105857,266,398,342,2.84017,129032,12903,10,342,303
8,Presentation1,Entire Recording,M1-1-A,8765,191,46,179705,2.88263,11612,683,17,179705,15
8,Presentation1,Entire Recording,M1-1-B,12824,183,70,233086,2.91303,18515,1424,13,233086,26
8,Presentation1,Entire Recording,M1-1-BLANK,100,100,1,116912,3.10153,100,100,1,116912,0
8,Presentation1,Entire Recording,M1-1-C,6495,162,40,241295,2.98666,9308,776,12,241295,13
8,Presentation1,Entire Recording,M1-1-D,450,90,5,248072,3.14107,500,125,4,248072,0
8,Presentation1,Entire Recording,M1-1-DELETE,17671,300,59,87757,2.93201,20399,5100,4,87757,49
8,Presentation1,Entire Recording,M1-1-DELETE,86221,261,330,86044,2.81956,105635,6214,17,86044,237
8,Presentation1,Entire Recording,Q,37728,181,209,176724,2.90148,59331,5933,10,176724,102
8,Presentation1,Entire Recording,T,105857,266,398,86044,2.84017,129032,12903,10,86044,303
8,Presentation2,T,M1-2-A,11742,202,58,17297,2.73795,13839,602,23,17297,23
8,Presentation2,T,M1-2-B,11142,192,58,71336,2.757,13289,633,21,71336,22
8,Presentation2,T,M1-2-BLANK,167,167,1,1277,3.83726,167,167,1,1277,0
8,Presentation2,T,M1-2-C,8694,198,44,74834,2.8345,10857,905,12,74834,14
8,Presentation2,T,M1-2-D,1482,212,7,85523,2.79636,1549,516,3,85523,4
8,Presentation2,T,M1-2-DELETE,2698,245,11,2160,2.79981,3098,1033,3,2160,7
8,Presentation2,T,M1-2-DELETE,71415,227,315,29,2.77538,85152,2936,29,29,231
8,Presentation2,T,Q,51663,199,260,6273,2.7748,68522,2979,23,6273,143
8,Presentation2,T,T,76195,228,334,29,2.77923,90848,3494,26,29,252
8,Presentation2,Entire Recording,M1-2-A,11742,202,58,86775,2.73795,13839,602,23,86775,23
8,Presentation2,Entire Recording,M1-2-B,11142,192,58,140814,2.757,13289,633,21,140814,22
8,Presentation2,Entire Recording,M1-2-BLANK,167,167,1,70755,3.83726,167,167,1,70755,0
8,Presentation2,Entire Recording,M1-2-C,8694,198,44,144312,2.8345,10857,905,12,144312,14
8,Presentation2,Entire Recording,M1-2-D,1482,212,7,155001,2.79636,1549,516,3,155001,4
8,Presentation2,Entire Recording,M1-2-DELETE,2698,245,11,71638,2.79981,3098,1033,3,71638,7
8,Presentation2,Entire Recording,M1-2-DELETE,71415,227,315,69507,2.77538,85152,2936,29,69507,231
8,Presentation2,Entire Recording,Q,51663,199,260,75752,2.7748,68522,2979,23,75752,143
8,Presentation2,Entire Recording,T,76195,228,334,69507,2.77923,90848,3494,26,69507,252
8,Presentation3,T+A,M2-1-A,4747,264,18,114275,2.799,5463,1821,3,114275,9
8,Presentation3,T+A,M2-1-B,833,167,5,113759,2.94611,1083,541,2,113759,2
8,Presentation3,T+A,M2-1-BLANK,400,200,2,1250,3.98404,416,416,1,1250,1
8,Presentation3,T+A,M2-1-C,683,228,3,3315,2.85526,699,350,2,3315,1
8,Presentation3,T+A,M2-1-D,0,,0,,,0,,0,,0
8,Presentation3,T+A,M2-1-DELETE,217,217,1,3715,2.70097,217,217,1,3715,0
8,Presentation3,T+A,M2-1-DELETE,78077,242,323,317,2.64288,97355,4868,20,317,192
8,Presentation3,T+A,Q,11179,243,46,3315,2.7567,13909,2782,5,3315,27
8,Presentation3,T+A,T,80525,243,332,317,2.64846,100153,5271,19,317,201
8,Presentation3,Entire Recording,M2-1-A,4747,264,18,165686,2.799,5463,1821,3,165686,9
8,Presentation3,Entire Recording,M2-1-B,833,167,5,165169,2.94611,1083,541,2,165169,2
8,Presentation3,Entire Recording,M2-1-BLANK,400,200,2,52660,3.98404,416,416,1,52660,1
8,Presentation3,Entire Recording,M2-1-C,683,228,3,54725,2.85526,699,350,2,54725,1
8,Presentation3,Entire Recording,M2-1-D,0,,0,,,0,,0,,0
8,Presentation3,Entire Recording,M2-1-DELETE,217,217,1,55125,2.70097,217,217,1,55125,0
8,Presentation3,Entire Recording,M2-1-DELETE,78077,242,323,51728,2.64288,97355,4868,20,51728,192
8,Presentation3,Entire Recording,Q,11179,243,46,54725,2.7567,13909,2782,5,54725,27
8,Presentation3,Entire Recording,T,80525,243,332,51728,2.64846,100153,5271,19,51728,201
8,Presentation4,T+A,M2-2-A,7190,189,38,4414,2.67903,8172,409,20,4414,9
8,Presentation4,T+A,M2-2-B,8539,203,42,77072,2.63407,10354,863,12,77072,15
8,Presentation4,T+A,M2-2-BLANK,733,366,2,217,3.72673,733,366,2,217,0
8,Presentation4,T+A,M2-2-C,2148,179,12,89830,2.67837,3281,1094,3,89830,2
8,Presentation4,T+A,M2-2-D,0,,0,,,0,,0,,0
8,Presentation4,T+A,M2-2-DELETE,0,,0,,,0,,0,,0
8,Presentation4,T+A,M2-2-DELETE,43402,221,196,933,2.70062,54172,4167,13,933,142
8,Presentation4,T+A,Q,33854,202,168,4014,2.64956,47892,3421,14,4014,74
8,Presentation4,T+A,T,44884,220,204,933,2.70185,55954,3997,14,933,148
8,Presentation4,Entire Recording,M2-2-A,7190,189,38,48904,2.67903,8172,409,20,48904,9
8,Presentation4,Entire Recording,M2-2-B,8539,203,42,121562,2.63407,10354,863,12,121562,15
8,Presentation4,Entire Recording,M2-2-BLANK,733,366,2,44707,3.72673,733,366,2,44707,0
8,Presentation4,Entire Recording,M2-2-C,2148,179,12,134320,2.67837,3281,1094,3,134320,2
8,Presentation4,Entire Recording,M2-2-D,0,,0,,,0,,0,,0
8,Presentation4,Entire Recording,M2-2-DELETE,0,,0,,,0,,0,,0
8,Presentation4,Entire Recording,M2-2-DELETE,43402,221,196,45423,2.70062,54172,4167,13,45423,142
8,Presentation4,Entire Recording,Q,33854,202,168,48504,2.64956,47892,3421,14,48504,74
8,Presentation4,Entire Recording,T,44884,220,204,45423,2.70185,55954,3997,14,45423,148
8,Presentation5,T+P,M3-1-A,5329,222,24,155927,2.79273,6179,562,11,155927,9
8,Presentation5,T+P,M3-1-B,3514,234,15,184723,2.98535,4214,702,6,184723,7
8,Presentation5,T+P,M3-1-C,433,144,3,185372,3.12132,500,500,1,185372,1
8,Presentation5,T+P,M3-1-D,0,,0,,,0,,0,,0
8,Presentation5,T+P,P,23676,269,88,0,2.86543,27956,3106,9,0,57
8,Presentation5,T+P,DELETE,68717,303,227,2258,2.80595,79347,8816,9,2258,189
8,Presentation5,T+P,DELETE,38123,228,167,73074,2.6346,54922,4993,11,73074,96
8,Presentation5,T+P,Q,18320,195,94,124707,2.81187,23999,2182,11,124707,52
8,Presentation5,T+P,T,108755,269,405,2258,2.7461,137647,15294,9,2258,302
8,Presentation5,Entire Recording,M3-1-A,5329,222,24,201697,2.79273,6179,562,11,201697,9
8,Presentation5,Entire Recording,M3-1-B,3514,234,15,230493,2.98535,4214,702,6,230493,7
8,Presentation5,Entire Recording,M3-1-C,433,144,3,231142,3.12132,500,500,1,231142,1
8,Presentation5,Entire Recording,M3-1-D,0,,0,,,0,,0,,0
8,Presentation5,Entire Recording,P,23676,269,88,45770,2.86543,27956,3106,9,45770,57
8,Presentation5,Entire Recording,DELETE,68717,303,227,48028,2.80595,79347,8816,9,48028,189
8,Presentation5,Entire Recording,DELETE,38123,228,167,118845,2.6346,54922,4993,11,118845,96
8,Presentation5,Entire Recording,Q,18320,195,94,170478,2.81187,23999,2182,11,170478,52
8,Presentation5,Entire Recording,T,108755,269,405,48028,2.7461,137647,15294,9,48028,302
8,Presentation6,T+P,M3-2-A,16220,253,64,5723,2.77829,18833,1256,15,5723,30
8,Presentation6,T+P,M3-2-B,10426,282,37,39033,2.80728,12141,1012,12,39033,17
8,Presentation6,T+P,M3-2-C,4114,242,17,44762,2.79524,4647,1162,4,44762,10
8,Presentation6,T+P,M3-2-D,0,,0,,,0,,0,,0
8,Presentation6,T+P,P,1179,236,5,0,3.14038,1262,421,3,0,1
8,Presentation6,T+P,DELETE,2831,202,14,1976,2.58622,3264,816,4,1976,8
8,Presentation6,T+P,DELETE,17687,224,79,796,2.61285,21166,2352,9,796,55
8,Presentation6,T+P,Q,36822,249,148,3108,2.78298,45364,11341,4,3108,89
8,Presentation6,T+P,T,21451,228,94,796,2.61466,25912,3702,7,796,68
8,Presentation6,Entire Recording,M3-2-A,16220,253,64,51730,2.77829,18833,1256,15,51730,30
8,Presentation6,Entire Recording,M3-2-B,10426,282,37,85040,2.80728,12141,1012,12,85040,17
8,Presentation6,Entire Recording,M3-2-C,4114,242,17,90769,2.79524,4647,1162,4,90769,10
8,Presentation6,Entire Recording,M3-2-D,0,,0,,,0,,0,,0
8,Presentation6,Entire Recording,P,1179,236,5,46007,3.14038,1262,421,3,46007,1
8,Presentation6,Entire Recording,DELETE,2831,202,14,47983,2.58622,3264,816,4,47983,8
8,Presentation6,Entire Recording,DELETE,17687,224,79,46803,2.61285,21166,2352,9,46803,55
8,Presentation6,Entire Recording,Q,36822,249,148,49116,2.78298,45364,11341,4,49116,89
8,Presentation6,Entire Recording,T,21451,228,94,46803,2.61466,25912,3702,7,46803,68
8,Presentation7,T+A&P,M4-1-A,10442,201,52,116861,2.89873,15470,1289,12,116861,31
8,Presentation7,T+A&P,M4-1-B,6545,205,32,137723,2.83443,7561,504,15,137723,13
8,Presentation7,T+A&P,M4-1-C,10491,262,40,171512,2.90908,11957,854,14,171512,20
8,Presentation7,T+A&P,M4-1-D,3797,475,8,187212,3.00056,3881,776,5,187212,3
8,Presentation7,T+A&P,P,25271,272,93,0,2.84317,30385,3376,9,0,58
8,Presentation7,T+A&P,DELETE,66319,313,212,1883,2.61673,76724,8525,9,1883,161
8,Presentation7,T+A&P,DELETE,26997,237,114,969,2.63906,36540,3322,11,969,61
8,Presentation7,T+A&P,Q,38104,231,165,116045,2.91956,51492,5721,9,116045,109
8,Presentation7,T+A&P,T,94199,286,329,969,2.62415,115760,12862,9,969,231
8,Presentation7,Entire Recording,M4-1-A,10442,201,52,161685,2.89873,15470,1289,12,161685,31
8,Presentation7,Entire Recording,M4-1-B,6545,205,32,182547,2.83443,7561,504,15,182547,13
8,Presentation7,Entire Recording,M4-1-C,10491,262,40,216336,2.90908,11957,854,14,216336,20
8,Presentation7,Entire Recording,M4-1-D,3797,475,8,232037,3.00056,3881,776,5,232037,3
8,Presentation7,Entire Recording,P,25271,272,93,44824,2.84317,30385,3376,9,44824,58
8,Presentation7,Entire Recording,DELETE,66319,313,212,46708,2.61673,76724,8525,9,46708,161
8,Presentation7,Entire Recording,DELETE,26997,237,114,45793,2.63906,36540,3322,11,45793,61
8,Presentation7,Entire Recording,Q,38104,231,165,160869,2.91956,51492,5721,9,160869,109
8,Presentation7,Entire Recording,T,94199,286,329,45793,2.62415,115760,12862,9,45793,231
8,Presentation8,T+A&P,M4-2-A,16605,332,50,16658,2.85687,18202,2022,9,16658,34
8,Presentation8,T+A&P,M4-2-B,13995,311,45,82976,2.86645,15609,1561,10,82976,26
8,Presentation8,T+A&P,M4-2-C,6562,273,24,81910,3.075,7927,991,8,81910,11
8,Presentation8,T+A&P,M4-2-D,1266,211,6,85090,3.24611,1366,455,3,85090,2
8,Presentation8,T+A&P,P,5900,281,21,0,2.78697,7099,1183,6,0,7
8,Presentation8,T+A&P,DELETE,35824,260,138,2019,2.75103,41052,4561,9,2019,115
8,Presentation8,T+A&P,DELETE,17004,202,84,587,2.61436,21485,2686,8,587,57
8,Presentation8,T+A&P,Q,49370,314,157,5084,2.88737,56094,7012,8,5084,120
8,Presentation8,T+A&P,T,53661,237,226,587,2.70775,63935,7104,9,587,182
8,Presentation8,Entire Recording,M4-2-A,16605,332,50,64005,2.85687,18202,2022,9,64005,34
8,Presentation8,Entire Recording,M4-2-B,13995,311,45,130323,2.86645,15609,1561,10,130323,26
8,Presentation8,Entire Recording,M4-2-C,6562,273,24,129257,3.075,7927,991,8,129257,11
8,Presentation8,Entire Recording,M4-2-D,1266,211,6,132437,3.24611,1366,455,3,132437,2
8,Presentation8,Entire Recording,P,5900,281,21,47347,2.78697,7099,1183,6,47347,7
8,Presentation8,Entire Recording,DELETE,35824,260,138,49367,2.75103,41052,4561,9,49367,115
8,Presentation8,Entire Recording,DELETE,17004,202,84,47934,2.61436,21485,2686,8,47934,57
8,Presentation8,Entire Recording,Q,49370,314,157,52431,2.88737,56094,7012,8,52431,120
8,Presentation8,Entire Recording,T,53661,237,226,47934,2.70775,63935,7104,9,47934,182
9,Presentation1,T,M1-1-A,16671,321,52,83460,2.72747,17837,1274,14,83460,37
9,Presentation1,T,M1-1-B,6895,246,28,89922,2.72663,7744,2581,3,89922,24
9,Presentation1,T,M1-1-BLANK,2193,169,13,0,2.98701,2393,299,8,0,5
9,Presentation1,T,M1-1-C,4680,260,18,141002,2.75879,5313,5313,1,141002,16
9,Presentation1,T,M1-1-D,0,,0,,,0,,0,,0
9,Presentation1,T,M1-1-DELETE,39721,256,155,1860,2.75155,44984,4998,9,1860,134
9,Presentation1,T,M1-1-DELETE,98479,290,339,844,2.65494,111961,4306,26,844,294
9,Presentation1,T,Q,47266,266,178,2526,2.74933,53062,3316,16,2526,149
9,Presentation1,T,T,140415,279,504,844,2.6831,160110,8006,20,844,452
9,Presentation1,Entire Recording,M1-1-A,16671,321,52,175921,2.72747,17837,1274,14,175921,37
9,Presentation1,Entire Recording,M1-1-B,6895,246,28,182383,2.72663,7744,2581,3,182383,24
9,Presentation1,Entire Recording,M1-1-BLANK,2193,169,13,92461,2.98701,2393,299,8,92461,5
9,Presentation1,Entire Recording,M1-1-C,4680,260,18,233463,2.75879,5313,5313,1,233463,16
9,Presentation1,Entire Recording,M1-1-D,0,,0,,,0,,0,,0
9,Presentation1,Entire Recording,M1-1-DELETE,39721,256,155,94321,2.75155,44984,4998,9,94321,134
9,Presentation1,Entire Recording,M1-1-DELETE,98479,290,339,93305,2.65494,111961,4306,26,93305,294
9,Presentation1,Entire Recording,Q,47266,266,178,94987,2.74933,53062,3316,16,94987,149
9,Presentation1,Entire Recording,T,140415,279,504,93305,2.6831,160110,8006,20,93305,452
9,Presentation2,T,M1-2-A,8028,223,36,14931,2.66647,10109,842,12,14931,20
9,Presentation2,T,M1-2-B,7445,213,35,20311,2.68886,8411,647,13,20311,17
9,Presentation2,T,M1-2-BLANK,516,258,2,475,3.41314,516,258,2,475,0
9,Presentation2,T,M1-2-C,4356,207,21,54569,2.67209,4839,403,12,54569,7
9,Presentation2,T,M1-2-D,7911,255,31,1291,2.69765,9024,1128,8,1291,18
9,Presentation2,T,M1-2-DELETE,5962,221,27,1941,2.68234,7028,3514,2,1941,22
9,Presentation2,T,M1-2-DELETE,35200,215,164,0,2.65417,40946,3722,11,0,147
9,Presentation2,T,Q,42195,222,190,1291,2.70279,50984,3922,13,1291,149
9,Presentation2,T,T,42445,214,198,0,2.65809,49590,4132,12,0,177
9,Presentation2,Entire Recording,M1-2-A,8028,223,36,56485,2.66647,10109,842,12,56485,20
9,Presentation2,Entire Recording,M1-2-B,7445,213,35,61865,2.68886,8411,647,13,61865,17
9,Presentation2,Entire Recording,M1-2-BLANK,516,258,2,42029,3.41314,516,258,2,42029,0
9,Presentation2,Entire Recording,M1-2-C,4356,207,21,96123,2.67209,4839,403,12,96123,7
9,Presentation2,Entire Recording,M1-2-D,7911,255,31,42845,2.69765,9024,1128,8,42845,18
9,Presentation2,Entire Recording,M1-2-DELETE,5962,221,27,43495,2.68234,7028,3514,2,43495,22
9,Presentation2,Entire Recording,M1-2-DELETE,35200,215,164,41554,2.65417,40946,3722,11,41554,147
9,Presentation2,Entire Recording,Q,42195,222,190,42845,2.70279,50984,3922,13,42845,149
9,Presentation2,Entire Recording,T,42445,214,198,41554,2.65809,49590,4132,12,41554,177
9,Presentation3,T+A,M2-1-A,250,250,1,119561,2.7235,250,250,1,119561,0
9,Presentation3,T+A,M2-1-B,0,,0,,,0,,0,,0
9,Presentation3,T+A,M2-1-BLANK,2665,222,12,974,2.73048,2815,313,9,974,1
9,Presentation3,T+A,M2-1-C,0,,0,,,0,,0,,0
9,Presentation3,T+A,M2-1-D,0,,0,,,0,,0,,0
9,Presentation3,T+A,M2-1-DELETE,11658,343,34,2106,2.88433,12857,1837,7,2106,24
9,Presentation3,T+A,M2-1-DELETE,78127,285,274,391,2.62511,90807,4128,22,391,212
9,Presentation3,T+A,Q,9376,302,31,6104,2.71797,10491,1749,6,6104,21
9,Presentation3,T+A,T,92617,289,321,391,2.66039,107878,7192,15,391,259
9,Presentation3,Entire Recording,M2-1-A,250,250,1,171720,2.7235,250,250,1,171720,0
9,Presentation3,Entire Recording,M2-1-B,0,,0,,,0,,0,,0
9,Presentation3,Entire Recording,M2-1-BLANK,2665,222,12,53133,2.73048,2815,313,9,53133,1
9,Presentation3,Entire Recording,M2-1-C,0,,0,,,0,,0,,0
9,Presentation3,Entire Recording,M2-1-D,0,,0,,,0,,0,,0
9,Presentation3,Entire Recording,M2-1-DELETE,11658,343,34,54266,2.88433,12857,1837,7,54266,24
9,Presentation3,Entire Recording,M2-1-DELETE,78127,285,274,52550,2.62511,90807,4128,22,52550,212
9,Presentation3,Entire Recording,Q,9376,302,31,58263,2.71797,10491,1749,6,58263,21
9,Presentation3,Entire Recording,T,92617,289,321,52550,2.66039,107878,7192,15,52550,259
9,Presentation4,T+A,M2-2-A,11725,255,46,13593,2.7237,13057,1451,9,13593,34
9,Presentation4,T+A,M2-2-B,16138,265,61,19552,2.71879,17671,1359,13,19552,45
9,Presentation4,T+A,M2-2-BLANK,487,244,2,0,3.77649,487,244,2,0,0
9,Presentation4,T+A,M2-2-C,12295,307,40,21051,2.74137,13375,1115,12,21051,25
9,Presentation4,T+A,M2-2-D,3814,254,15,35840,2.68064,4164,833,5,35840,10
9,Presentation4,T+A,M2-2-DELETE,1499,187,8,1869,2.74515,1665,555,3,1869,5
9,Presentation4,T+A,M2-2-DELETE,5729,212,27,204,3.01732,6345,635,10,204,16
9,Presentation4,T+A,Q,48686,265,184,5733,2.72761,55842,18614,3,5733,168
9,Presentation4,T+A,T,7928,203,39,204,2.94953,9493,1899,5,204,30
9,Presentation4,Entire Recording,M2-2-A,11725,255,46,57946,2.7237,13057,1451,9,57946,34
9,Presentation4,Entire Recording,M2-2-B,16138,265,61,63905,2.71879,17671,1359,13,63905,45
9,Presentation4,Entire Recording,M2-2-BLANK,487,244,2,44353,3.77649,487,244,2,44353,0
9,Presentation4,Entire Recording,M2-2-C,12295,307,40,65404,2.74137,13375,1115,12,65404,25
9,Presentation4,Entire Recording,M2-2-D,3814,254,15,80194,2.68064,4164,833,5,80194,10
9,Presentation4,Entire Recording,M2-2-DELETE,1499,187,8,46223,2.74515,1665,555,3,46223,5
9,Presentation4,Entire Recording,M2-2-DELETE,5729,212,27,44557,3.01732,6345,635,10,44557,16
9,Presentation4,Entire Recording,Q,48686,265,184,50086,2.72761,55842,18614,3,50086,168
9,Presentation4,Entire Recording,T,7928,203,39,44557,2.94953,9493,1899,5,44557,30
9,Presentation5,T+P,M3-1-A,4797,266,18,14197,2.79279,5063,506,10,14197,6
9,Presentation5,T+P,M3-1-B,5829,265,22,34744,2.77639,6212,690,9,34744,13
9,Presentation5,T+P,M3-1-C,3839,226,17,44504,2.83824,4139,591,7,44504,10
9,Presentation5,T+P,M3-1-D,683,228,3,44987,2.82362,733,366,2,44987,1
9,Presentation5,T+P,P,20752,231,90,10,2.87724,23680,1579,15,10,62
9,Presentation5,T+P,DELETE,3564,255,14,943,2.74739,4214,1053,4,943,7
9,Presentation5,T+P,DELETE,1432,179,8,1243,2.95346,1616,539,3,1243,4
9,Presentation5,T+P,Q,22026,237,93,9454,2.81168,24923,1917,13,9454,74
9,Presentation5,T+P,T,5846,234,25,943,2.8023,6862,1372,5,943,16
9,Presentation5,Entire Recording,M3-1-A,4797,266,18,58440,2.79279,5063,506,10,58440,6
9,Presentation5,Entire Recording,M3-1-B,5829,265,22,78987,2.77639,6212,690,9,78987,13
9,Presentation5,Entire Recording,M3-1-C,3839,226,17,88746,2.83824,4139,591,7,88746,10
9,Presentation5,Entire Recording,M3-1-D,683,228,3,89229,2.82362,733,366,2,89229,1
9,Presentation5,Entire Recording,P,20752,231,90,44253,2.87724,23680,1579,15,44253,62
9,Presentation5,Entire Recording,DELETE,3564,255,14,45186,2.74739,4214,1053,4,45186,7
9,Presentation5,Entire Recording,DELETE,1432,179,8,45486,2.95346,1616,539,3,45486,4
9,Presentation5,Entire Recording,Q,22026,237,93,53696,2.81168,24923,1917,13,53696,74
9,Presentation5,Entire Recording,T,5846,234,25,45186,2.8023,6862,1372,5,45186,16
9,Presentation6,T+P,M3-2-A,11563,313,37,42619,2.72867,12446,1037,12,42619,23
9,Presentation6,T+P,M3-2-B,1199,240,5,46317,2.74322,1382,1382,1,46317,3
9,Presentation6,T+P,M3-2-C,0,,0,,,0,,0,,0
9,Presentation6,T+P,M3-2-D,0,,0,,,0,,0,,0
9,Presentation6,T+P,P,1699,170,10,367,2.9807,1899,380,5,367,5
9,Presentation6,T+P,DELETE,17987,265,68,0,2.79135,20069,3345,6,0,60
9,Presentation6,T+P,DELETE,24166,284,85,2748,2.78526,27097,2084,13,2748,62
9,Presentation6,T+P,Q,36761,285,129,35258,2.75847,42817,5352,8,35258,96
9,Presentation6,T+P,T,42553,275,155,0,2.78751,48116,4374,11,0,130
9,Presentation6,Entire Recording,M3-2-A,11563,313,37,87207,2.72867,12446,1037,12,87207,23
9,Presentation6,Entire Recording,M3-2-B,1199,240,5,90904,2.74322,1382,1382,1,90904,3
9,Presentation6,Entire Recording,M3-2-C,0,,0,,,0,,0,,0
9,Presentation6,Entire Recording,M3-2-D,0,,0,,,0,,0,,0
9,Presentation6,Entire Recording,P,1699,170,10,44954,2.9807,1899,380,5,44954,5
9,Presentation6,Entire Recording,DELETE,17987,265,68,44587,2.79135,20069,3345,6,44587,60
9,Presentation6,Entire Recording,DELETE,24166,284,85,47335,2.78526,27097,2084,13,47335,62
9,Presentation6,Entire Recording,Q,36761,285,129,79845,2.75847,42817,5352,8,79845,96
9,Presentation6,Entire Recording,T,42553,275,155,44587,2.78751,48116,4374,11,44587,130
9,Presentation7,T+A&P,M4-1-A,2615,261,10,127044,2.62743,3014,1507,2,127044,5
9,Presentation7,T+A&P,M4-1-B,5529,230,24,129209,2.70672,6412,3206,2,129209,20
9,Presentation7,T+A&P,M4-1-C,1186,297,4,137253,2.8056,1320,1320,1,137253,2
9,Presentation7,T+A&P,M4-1-D,0,,0,,,0,,0,,0
9,Presentation7,T+A&P,P,19720,235,84,0,2.67882,24436,1358,18,0,53
9,Presentation7,T+A&P,DELETE,50847,306,166,515,2.64454,57039,2593,22,515,126
9,Presentation7,T+A&P,DELETE,8627,180,48,632,2.68297,15080,1508,10,632,16
9,Presentation7,T+A&P,Q,16142,245,66,118187,2.71908,19236,6412,3,118187,54
9,Presentation7,T+A&P,T,63737,281,227,515,2.65519,79966,3635,22,515,156
9,Presentation7,Entire Recording,M4-1-A,2615,261,10,168752,2.62743,3014,1507,2,168752,5
9,Presentation7,Entire Recording,M4-1-B,5529,230,24,170917,2.70672,6412,3206,2,170917,20
9,Presentation7,Entire Recording,M4-1-C,1186,297,4,178961,2.8056,1320,1320,1,178961,2
9,Presentation7,Entire Recording,M4-1-D,0,,0,,,0,,0,,0
9,Presentation7,Entire Recording,P,19720,235,84,41708,2.67882,24436,1358,18,41708,53
9,Presentation7,Entire Recording,DELETE,50847,306,166,42223,2.64454,57039,2593,22,42223,126
9,Presentation7,Entire Recording,DELETE,8627,180,48,42340,2.68297,15080,1508,10,42340,16
9,Presentation7,Entire Recording,Q,16142,245,66,159895,2.71908,19236,6412,3,159895,54
9,Presentation7,Entire Recording,T,63737,281,227,42223,2.65519,79966,3635,22,42223,156
9,Presentation8,T+A&P,M4-2-A,10209,292,35,14479,2.72883,11159,1240,9,14479,24
9,Presentation8,T+A&P,M4-2-B,12304,315,39,20308,2.77879,13420,1220,11,20308,25
9,Presentation8,T+A&P,M4-2-C,7345,272,27,31181,2.76863,7844,872,9,31181,17
9,Presentation8,T+A&P,M4-2-D,2482,310,8,41041,2.80024,2715,905,3,41041,4
9,Presentation8,T+A&P,P,316,158,2,44,3.40759,366,366,1,44,1
9,Presentation8,T+A&P,DELETE,316,316,1,477,3.39142,316,316,1,477,0
9,Presentation8,T+A&P,DELETE,500,167,3,1226,3.01666,500,167,3,1226,0
9,Presentation8,T+A&P,Q,50493,284,178,1459,2.76182,58649,7331,8,1459,148
9,Presentation8,T+A&P,T,1166,233,5,477,3.26336,1249,416,3,477,2
9,Presentation8,Entire Recording,M4-2-A,10209,292,35,60283,2.72883,11159,1240,9,60283,24
9,Presentation8,Entire Recording,M4-2-B,12304,315,39,66112,2.77879,13420,1220,11,66112,25
9,Presentation8,Entire Recording,M4-2-C,7345,272,27,76986,2.76863,7844,872,9,76986,17
9,Presentation8,Entire Recording,M4-2-D,2482,310,8,86846,2.80024,2715,905,3,86846,4
9,Presentation8,Entire Recording,P,316,158,2,45848,3.40759,366,366,1,45848,1
9,Presentation8,Entire Recording,DELETE,316,316,1,46281,3.39142,316,316,1,46281,0
9,Presentation8,Entire Recording,DELETE,500,167,3,47031,3.01666,500,167,3,47031,0
9,Presentation8,Entire Recording,Q,50493,284,178,47264,2.76182,58649,7331,8,47264,148
9,Presentation8,Entire Recording,T,1166,233,5,46281,3.26336,1249,416,3,46281,2
